Time (Sec);S1;S7;S49;S47;S25;S41;S46;S48;S24;S2;S51;S33;S34;S50;S35;S17;S26;S43;S18;S20;S11;S42;
3121.5599999998326;19158.264956799714;19158.801545599956;19153.923270398358;19155.833995199046;19157.435375999514;19158.466595199698;19155.31554880074;19155.85024639905;19157.115090399187;19157.60956639963;19152.12603999795;19158.614937599734;19158.854316799687;19152.64897599808;19159.291635199974;19158.579151999947;19158.482369599944;19159.293694399974;19157.65526399937;19157.273472799476;19146.082153599164;19159.00796879972;
3184.567999999825;19158.244765599713;19158.770657599955;19153.766390398316;19155.801684799037;19157.348827999496;19158.452187199695;19155.222656000755;19155.75227199903;19157.02295919916;19157.523118399615;19151.868535997884;19158.60052959973;19158.846639199684;19152.570371198057;19159.285457599974;19158.562678399947;19158.432948799942;19159.277220799973;19157.633651999367;19157.23755279947;19145.80613119915;19158.961903199706;
3240.0096733331497;19158.22315359971;19158.739769599953;19153.608350398274;19155.700980799014;19157.31290799949;19158.43057519969;19155.12038240077;19155.638078399006;19156.93082799913;19157.4366703996;19151.681942397838;19158.571713599726;19158.808251199673;19152.50715519804;19159.268983999973;19158.550323199946;19158.39794239994;19159.258687999973;19157.612039999363;19157.215940799466;19145.502225599135;19158.915837599692;
3300.009673333142;19158.201541599705;19158.708881599952;19153.45031039823;19155.58910719899;19157.25527599948;19158.387351199683;19155.014219200788;19155.53472959898;19156.838696799103;19157.350222399582;19151.463740797783;19158.528489599717;19158.78663919967;19152.443939198023;19159.250451199972;19158.537967999946;19158.35675839994;19159.240155199972;19157.59042799936;19157.19432879946;19145.18683679911;19158.894225599688;
3360.002673333137;19158.187133599702;19158.696526399952;19153.387094398215;19155.536788798978;19157.226459999474;19158.351331199676;19154.958620800797;19155.462759998965;19156.79263119909;19157.321406399577;19151.358902397755;19158.506877599713;19158.778961599666;19152.384054398008;19159.240155199972;19158.527671999946;19158.33616639994;19159.22779999997;19157.575072799355;19157.165512799456;19145.021644799097;19158.886547999686;
3423.1629999997995;19158.1798295997;19158.68417119995;19153.323878398198;19155.471811198964;19157.21205199947;19158.32251519967;19154.89295520081;19155.39008799895;19156.754243199077;19157.28538639957;19151.285900797735;19158.48526559971;19158.76360639966;19152.266183997977;19159.22985919997;19158.505020799945;19158.321751999938;19159.21544479997;19157.536684799343;19157.12949279945;19144.826462399094;19158.87119279968;
3480.096999999796;19158.1530079997;19158.66975679995;19153.255516798177;19155.422823998953;19157.20484799947;19158.293599199664;19154.837814400817;19155.30096799893;19156.72542719907;19157.26519519957;19151.23037919772;19158.478061599708;19158.740573599654;19152.186190397955;19159.22162239997;19158.488547199944;19158.311455999938;19159.20103039997;19157.505974399333;19157.100676799444;19144.662675199084;19158.848159999674;
3545.963999999792;19158.145803999698;19158.66151999995;19153.216214398166;19155.351083198937;19157.176031999465;19158.26488319966;19154.781758400826;19155.21989919891;19156.71101919907;19157.243483199563;19151.167163197704;19158.456449599704;19158.71896159965;19152.104190397935;19159.20926719997;19158.474132799944;19158.299100799937;19159.18661599997;19157.46758639932;19157.08626879944;19144.49607839908;19158.825127199667;
3601.2479999997895;19158.131395999695;19158.64916479995;19153.15299839815;19155.32716959893;19157.168827999463;19158.257679199658;19154.74972640083;19155.1720719989;19156.695663999064;19157.214667199558;19151.135097597697;19158.449245599702;19158.71175759965;19152.05719359792;19159.20514879997;19158.463836799943;19158.292923199937;19159.17837919997;19157.445974399317;19157.07186079944;19144.400945599067;19158.803515199663;
3662.094999999785;19158.124191999694;19158.63886879995;19153.098865598135;19155.27863999892;19157.140011999458;19158.22165919965;19154.68932320084;19155.099628798882;19156.65717599905;19157.187845599557;19151.03818239767;19158.4276335997;19158.704079999647;19151.961209597896;19159.19691199997;19158.445303999943;19158.274390399936;19159.16602399997;19157.42294159931;19157.02863679943;19144.22146079906;19158.79583759966;
